From Dowsett (1986),From Bowie (2003),Exclude,Order,Genus,Superspecies,Species,Group,Subspecies,Upper Guinea Highlands,Bioko,Mt. Cameroon,Cameroon Highlands,Bamenda & Adamawa,Monte Alen,Lendu,West Rift,Rwenzori,East Rift,Kabobo,Marungu,Mahale,North Somali Mtns,Djibouti,West Ethiopia,East Ethiopia,S Eth-N Ken,Imatong,Elgon,West Kenya,Kenya-Aberdare,Ngorongoro,Meru,Kilimanjaro,Taita,Pare,Usambara,Nguu,Nguru,Ukaguru,Rubeho,Uluguru,Udzungwa,Southern Highlands,Nyika,Kaningina,Dedza-Salima,Zomba,Thyolo,Mulanje,Namuli,Gorongosa,Chimanimani,N Drakensberg,S Drakensberg,Cape Fold Mountains,Central African Plateau (Zambia),Angola,Rondo Plateau,Mayombe
Yes,Yes,,1,Cyanochen,cyanoptera,cyanoptera,cyanoptera,cyanoptera,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,2,Xenoperdix,udzungwensis,udzungwensis,obscuratus,obscuratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,Yes,,3,Xenoperdix,udzungwensis,udzungwensis,udzungwensis,udzungwensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yes,,Exclude,4,Coturnix,coturnix,coturnix,coturnix,coturnix,,,,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,
Yes,Yes,,5,Pternistis,castaneicollis,nobilis,nobilis,nobilis,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,6,Pternistis,camerunensis,camerunensis,camerunensis,camerunensis,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,7,Pternistis,castaneicollis,castaneicollis,castaneicollis,castaneicollis,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,8,Pternistis,castaneicollis,atrifrons,atrifrons,atrifrons,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,9,Pternistis,erckelii,erckelii,erckelii,erckelii,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,10,Pternistis,castaneicollis,ochropectus,ochropectus,ochropectus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,11,Pternistis,castaneicollis,jacksoni,jacksoni,jacksoni,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,12,Pternistis,camerunensis,swierstrai,swierstrai,swierstrai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,13,Pternistis,harwoodi,harwoodi,harwoodi,harwoodi,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,14,Scleroptila,levaillantii,levaillantii,levaillantii,kikuyuensis,,,,,,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
Yes,Yes,,15,Scleroptila,levaillantii,levaillantii,levaillantii,levaillantii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,,16,Scleroptila,psilolaema,psilolaema,elgonensis,elgonensis,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,17,Scleroptila,psilolaema,psilolaema,psilolaema,psilolaema,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,18,Columba,albitorques,albitorques,albitorques,albitorques,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,Columba,oliviae,oliviae,oliviae,oliviae,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,20,Columba,arquatrix,arquatrix,arquatrix,arquatrix,,,,,,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,
Yes,Yes,,21,Columba,arquatrix,sjostedti,sjostedti,sjostedti,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,22,Columba,delegorguei,delegorguei,delegorguei,delegorguei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,
,Yes,,23,Columba,delegorguei,delegorguei,delegorguei,sharpei,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
Yes,Yes,,24,Columba,larvata,larvata,inornata,inornata,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,25,Columba,larvata,larvata,larvata,bronzina,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,26,Columba,larvata,larvata,larvata,larvata,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Yes,Yes,Exclude,27,Columba,larvata,larvata,principalis,principalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Exclude,28,Columba,larvata,larvata,simplex,simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29,Columba,albinucha,albinucha,albinucha,albinucha,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,30,Streptopelia,lugens,hypopyrrha,hypopyrrha,hypopyrrha,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,31,Streptopelia,lugens,lugens,lugens,lugens,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
,Yes,Exclude,32,Tauraco,livingstoni,livingstoni,livingstoni,livingstoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,33,Tauraco,schalowi,schalowi,schalowi,schalowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34,Tauraco,corythaix,corythaix,corythaix,corythaix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
,,,35,Tauraco,corythaix,corythaix,phoebus,phoebus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Yes,Yes,,36,Tauraco,erythrolophus,bannermani,bannermani,bannermani,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,37,Tauraco,erythrolophus,erythrolophus,erythrolophus,erythrolophus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,38,Tauraco,hartlaubii,hartlaubii,hartlaubii,hartlaubii,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,39,Tauraco,leucotis,leucotis,donaldsoni,donaldsoni,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,40,Tauraco,leucotis,leucotis,leucotis,leucotis,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,41,Tauraco,leucotis,ruspolii,ruspolii,ruspolii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,42,Ruwenzorornis,johnstoni,johnstoni,bredoi,bredoi,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,43,Ruwenzorornis,johnstoni,johnstoni,johnstoni,johnstoni,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,44,Ruwenzorornis,johnstoni,johnstoni,kivuensis,kivuensis,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,45,Cercococcyx,montanus,montanus,montanus,montanus,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,46,Cercococcyx,montanus,montanus,patulus,patulus,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,
Yes,Yes,,47,Caprimulgus,poliocephalus,poliocephalus,poliocephalus,poliocephalus,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
Yes,Yes,,48,Caprimulgus,poliocephalus,ruwenzorii,ruwenzorii,guttifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,
Yes,Yes,,49,Caprimulgus,poliocephalus,ruwenzorii,ruwenzorii,koesteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,50,Caprimulgus,poliocephalus,ruwenzorii,ruwenzorii,ruwenzorii,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,51,Caprimulgus,solala,solala,solala,solala,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,52,Caprimulgus,prigoginei,prigoginei,prigoginei,prigoginei,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,53,Schoutedenapus,myoptilus,myoptilus,myoptilus,chapini,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,54,Schoutedenapus,myoptilus,myoptilus,myoptilus,myoptilus,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,1,,,,,1,1,1,1,,,,,1,,,1,,,,,,,
Yes,Yes,,55,Schoutedenapus,myoptilus,myoptilus,myoptilus,poensis,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,56,Apus,aequatorialis,aequatorialis,aequatorialis,furensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,57,Apus,aequatorialis,aequatorialis,aequatorialis,lowei,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,58,Apus,melba,melba,melba,melba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,59,Apus,melba,melba,melba,tuneti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60,Apus,melba,melba,melba,archeri,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61,Apus,melba,melba,melba,africanus,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
,,,62,Apus,melba,melba,melba,maximus,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,63,Apus,melba,melba,melba,marjoriae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,64,Apus,melba,melba,melba,willsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,65,Apus,melba,melba,melba,nubifugus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,66,Apus,melba,melba,melba,dorabtatai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,67,Apus,melba,melba,melba,bakeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,68,Apus,aequatorialis,aequatorialis,aequatorialis,aequatorialis,,,,,,,,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,
,Yes,,69,Apus,aequatorialis,aequatorialis,aequatorialis,gelidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,Yes,,70,Apus,niansae,niansae,niansae,niansae,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,71,Apus,niansae,niansae,niansae,somalicus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,72,Apus,barbatus,barbatus,sladeniae,sladeniae,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,73,Apus,barbatus,barbatus,barbatus,glanvillei,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,74,Apus,barbatus,barbatus,barbatus,serlei,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,75,Apus,barbatus,barbatus,barbatus,roehli,,,,,,,,,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,,
,,,76,Apus,barbatus,barbatus,barbatus,hollidayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,77,Apus,barbatus,barbatus,barbatus,oreobates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
,,,78,Apus,barbatus,barbatus,barbatus,barbatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,,79,Sarothrura,affinis,affinis,affinis,affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,,80,Sarothrura,affinis,affinis,affinis,antonii,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,,
Yes,Yes,Exclude,81,Sarothrura,ayresi,ayresi,ayresi,ayresi,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
Yes,Yes,,82,Rougetius,rougetii,rougetii,rougetii,rougetii,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,83,Vanellus,melanopterus,melanopterus,melanopterus,melanopterus,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,84,Vanellus,melanopterus,melanopterus,melanopterus,minor,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Yes,Yes,,85,Vanellus,melanocephalus,melanocephalus,melanocephalus,melanocephalus,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,86,Geronticus,calvus,calvus,calvus,calvus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Yes,Yes,,87,Bostrychia,carunculata,carunculata,carunculata,carunculata,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,88,Gypaetus,barbatus,barbatus,meridionalis,meridionalis,,,,,,,,,,,,,,,,1,1,,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,
Yes,Yes,,89,Accipiter,rufiventris,rufiventris,perspicillatus,perspicillatus,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,90,Accipiter,rufiventris,rufiventris,rufiventris,rufiventris,,,,,,,,1,,1,,,,,,,,,1,1,1,1,1,1,1,,1,1,,,,,,,1,1,,,,,1,1,,1,1,1,1,,1,,
Yes,Yes,,91,Buteo,oreophilus,oreophilus,oreophilus,oreophilus,,,,,,,1,1,1,1,1,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,
Yes,Yes,,92,Buteo,oreophilus,trizonatus,trizonatus,trizonatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Yes,Yes,,93,Phodilus,prigoginei,prigoginei,prigoginei,prigoginei,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,94,Bubo,capensis,capensis,capensis,capensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,,95,Bubo,capensis,capensis,dillonii,dillonii,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,96,Bubo,capensis,capensis,dillonii,mackinderi,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,1,,,,,1,,,,,,,
,Yes,,97,Bubo,vosseleri,vosseleri,vosseleri,vosseleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,98,Glaucidium,albertinum,albertinum,albertinum,albertinum,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,99,Asio,abyssinicus,abyssinicus,abyssinicus,abyssinicus,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,100,Asio,abyssinicus,abyssinicus,abyssinicus,graueri,,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,101,Apaloderma,vittatum,vittatum,vittatum,camerunensis,,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,102,Apaloderma,vittatum,vittatum,vittatum,vittatum,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Yes,Yes,,103,Bycanistes,brevis,brevis,brevis,brevis,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,
Yes,Yes,,104,Merops,oreobates,oreobates,oreobates,oreobates,,,,,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,
Yes,Yes,,105,Stactolaema,olivacea,olivacea,belcheri,belcheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
Yes,Yes,,106,Stactolaema,olivacea,olivacea,belcheri,rungweensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Yes,Yes,,107,Stactolaema,olivacea,olivacea,howelli,howelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yes,Yes,,108,Stactolaema,olivacea,olivacea,olivacea,olivacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,109,Stactolaema,olivacea,olivacea,woodwardi,woodwardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
Yes,Yes,,110,Pogoniulus,leucomystax,leucomystax,leucomystax,leucomystax,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,
Yes,Yes,,111,Pogoniulus,coryphaea,coryphaea,angolensis,angolensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,112,Pogoniulus,coryphaea,coryphaea,coryphaea,coryphaea,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,113,Pogoniulus,coryphaea,coryphaea,hildamariae,hildamariae,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,114,Indicator,pumilio,pumilio,pumilio,pumilio,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,115,Chloropicus,abyssinicus,abyssinicus,abyssinicus,abyssinicus,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,116,Chloropicus,spodocephalus,spodocephalus,spodocephalus,rhodeogaster,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,117,Chloropicus,spodocephalus,spodocephalus,spodocephalus,spodocephalus,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,118,Chloropicus,griseocephalus,griseocephalus,griseocephalus,griseocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Yes,Yes,,119,Chloropicus,griseocephalus,griseocephalus,kilimensis,kilimensis,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,
Yes,Yes,,120,Chloropicus,griseocephalus,griseocephalus,ruwenzori,ruwenzori,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,1,1,,
Yes,Yes,,121,Campethera,tullbergi,tullbergi,taniolaema,hausburgi,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,122,Campethera,tullbergi,tullbergi,taniolaema,taniolaema,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,123,Campethera,tullbergi,tullbergi,tullbergi,tullbergi,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,124,Agapornis,taranta,taranta,taranta,taranta,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,125,Poicephalus,flavifrons,flavifrons,flavifrons,flavifrons,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,126,Pseudocalyptomena,graueri,graueri,graueri,graueri,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,127,Coracina,graueri,graueri,graueri,graueri,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,128,Coracina,caesia,caesia,caesia,caesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
Yes,Yes,,129,Coracina,caesia,caesia,caesia,preussi,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,130,Coracina,caesia,caesia,caesia,pura,,,,,,,,1,1,1,,,1,,,1,1,,1,1,1,1,1,1,1,,,1,,,,,1,1,1,,,,,,,,,,,,,,,1,
Yes,Yes,,131,Oriolus,chlorocephalus,chlorocephalus,chlorocephalus,amani,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,1,
